"Id_Accedeweb","Cd_Accedeweb","Description","Label","Rank","Dtype","Cd_Rgaa3","Id_Test_Id"
"636","Rgaa32017-3-1-2-Accedeweb-EDIT-7-2",NULL,NULL,"98","E","Rgaa32017-3-1-2","74"
"637","Rgaa32017-3-1-3-Accedeweb-GRAPH-3-2",NULL,NULL,"99","G","Rgaa32017-3-1-3","75"
"638","Rgaa32017-3-1-3-Accedeweb-EDIT-7-2",NULL,NULL,"100","E","Rgaa32017-3-1-3","75"
"639","Rgaa32017-3-1-4-Accedeweb-GRAPH-3-2",NULL,NULL,"101","G","Rgaa32017-3-1-4","76"
"640","Rgaa32017-3-1-4-Accedeweb-HTML-10-3",NULL,NULL,"102","H","Rgaa32017-3-1-4","76"
"641","Rgaa32017-3-1-4-Accedeweb-EDIT-7-2",NULL,NULL,"103","E","Rgaa32017-3-1-4","76"
"642","Rgaa32017-3-1-5-Accedeweb-GRAPH-3-2",NULL,NULL,"104","G","Rgaa32017-3-1-5","77"
"643","Rgaa32017-3-1-5-Accedeweb-EDIT-7-2",NULL,NULL,"105","E","Rgaa32017-3-1-5","77"
"644","Rgaa32017-3-1-6-Accedeweb-GRAPH-3-2",NULL,NULL,"106","G","Rgaa32017-3-1-6","78"
"645","Rgaa32017-3-1-6-Accedeweb-EDIT-7-2",NULL,NULL,"107","E","Rgaa32017-3-1-6","78"
"646","Rgaa32017-3-2-1-Accedeweb-GRAPH-3-2",NULL,NULL,"108","G","Rgaa32017-3-2-1","79"
"647","Rgaa32017-3-2-1-Accedeweb-HTML-10-3",NULL,NULL,"109","H","Rgaa32017-3-2-1","79"
"648","Rgaa32017-3-2-1-Accedeweb-EDIT-7-2",NULL,NULL,"110","E","Rgaa32017-3-2-1","79"
"649","Rgaa32017-3-2-2-Accedeweb-GRAPH-3-2",NULL,NULL,"111","G","Rgaa32017-3-2-2","80"
"650","Rgaa32017-3-2-2-Accedeweb-EDIT-6-5",NULL,NULL,"112","E","Rgaa32017-3-2-2","80"
"651","Rgaa32017-3-2-2-Accedeweb-EDIT-7-2",NULL,NULL,"113","E","Rgaa32017-3-2-2","80"
"652","Rgaa32017-3-2-3-Accedeweb-GRAPH-3-2",NULL,NULL,"114","G","Rgaa32017-3-2-3","81"
"653","Rgaa32017-3-2-3-Accedeweb-EDIT-7-2",NULL,NULL,"115","E","Rgaa32017-3-2-3","81"
"654","Rgaa32017-3-2-4-Accedeweb-GRAPH-3-2",NULL,NULL,"116","G","Rgaa32017-3-2-4","82"
"655","Rgaa32017-3-2-4-Accedeweb-HTML-10-3",NULL,NULL,"117","H","Rgaa32017-3-2-4","82"
"656","Rgaa32017-3-2-4-Accedeweb-EDIT-7-2",NULL,NULL,"118","E","Rgaa32017-3-2-4","82"
"657","Rgaa32017-3-2-5-Accedeweb-GRAPH-3-2",NULL,NULL,"119","G","Rgaa32017-3-2-5","83"
"658","Rgaa32017-3-2-5-Accedeweb-EDIT-7-2",NULL,NULL,"120","E","Rgaa32017-3-2-5","83"
"659","Rgaa32017-3-2-6-Accedeweb-GRAPH-3-2",NULL,NULL,"121","G","Rgaa32017-3-2-6","84"
"660","Rgaa32017-3-2-6-Accedeweb-EDIT-7-2",NULL,NULL,"122","E","Rgaa32017-3-2-6","84"
"661","Rgaa32017-3-3-1-Accedeweb-GRAPH-3-1",NULL,NULL,"123","G","Rgaa32017-3-3-1","85"
"662","Rgaa32017-3-3-1-Accedeweb-GRAPH-8-5",NULL,NULL,"124","G","Rgaa32017-3-3-1","85"
